losses/action_loss,losses/dist_entropy,losses/kl_loss,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
-0.0002001206351754566,2.0118894229332605,0.010431052563944831,0.2493847720324993,3.9,2.5,2.3,2.0,82,1359872
0.0005754294106736779,2.0461885829766593,0.009582759075177213,0.24446872994303703,4.7,4.0,3.9,4.0,83,1376256
0.0031943253125064075,2.0876568307479224,0.013896930099387342,0.27694846130907536,5.9,6.0,4.6,4.0,84,1392640
-0.0003553467686288059,2.0199239452679953,0.008785236151500916,0.254093528414766,4.0,3.5,2.4,2.5,85,1409024
0.0004049087583553046,1.9357617944478989,0.013564484310336411,0.32011743262410164,4.2,4.0,2.2,1.5,86,1425408
-0.0004831534655143817,2.011539484063784,0.005507875447316716,0.2468840852379799,6.1,6.5,3.2,3.0,87,1441792
0.0008562945489150783,2.0315236300230026,0.0076458045465794084,0.25817218484977883,4.0,3.5,4.2,5.0,88,1458176
-0.0008137093391269445,1.9716326892375946,0.0034983227378688753,0.3060234834750493,2.5,2.0,2.9,2.0,89,1474560
0.0001845977579553922,1.9322002977132797,0.006017472148717691,0.34608741228779155,4.4,4.0,2.9,3.0,90,1490944
-0.0015483617316931486,1.8848285923401515,0.005125027741693581,0.371050413697958,4.1,4.0,2.3,2.0,91,1507328
-0.00013418484013527632,1.866955081621806,0.004650877711052696,0.42098258808255196,3.5,2.0,2.9,3.0,92,1523712
0.001042841710538293,1.8443476408720016,0.008456524427553328,0.4874233901500702,1.1,1.0,4.6,3.0,93,1540096
3.5343458876013756e-05,1.9400668293237686,0.0060002112440997735,0.328503559033076,3.7,4.0,5.0,4.5,94,1556480
0.0010331010271329433,1.9285168995459874,0.006878826272441074,0.3319574569662412,3.4,1.0,6.2,8.0,95,1572864
0.00041539672141273815,1.861425409714381,0.008702020587710043,0.38260748734076816,4.1,3.5,3.7,3.5,96,1589248
0.0011098118654141824,1.8328751424948375,0.008196631165143723,0.3804739403227965,4.0,3.5,2.3,2.0,97,1605632
-0.00043990224367007613,1.905380556980769,0.0049486690647124005,0.2646440379321575,6.2,5.0,3.8,3.5,98,1622016
0.002601681451778859,1.9394171684980392,0.011445943072127799,0.2747244679679473,4.1,3.5,3.1,2.0,99,1638400
3.1366352535163365e-05,1.8281983534495037,0.005925518615792195,0.3069920167326927,3.1,2.5,4.3,3.5,100,1654784
0.00016357460602497062,1.7746298710505168,0.00712206515405948,0.3945795384546121,4.5,3.5,4.1,4.0,101,1671168
-0.000424554319276164,1.8556143393119175,0.006249935977393761,0.26987009309232235,4.5,5.0,3.7,3.5,102,1687552
0.002236497738825468,1.852857713898023,0.00656228974306335,0.3299638107419014,2.4,2.0,3.3,3.0,103,1703936
-0.0008416890438335637,1.8813034097353618,0.00605899541794012,0.29295490433772403,3.5,2.5,3.9,2.5,104,1720320
-0.0005266542818086842,1.913379356265068,0.007620084002458801,0.25185776501893997,2.2,2.5,3.0,2.5,105,1736704
-0.00012092748268817861,1.980493649840355,0.005572492732123162,0.2031843482206265,3.0,2.0,3.7,2.5,106,1753088
0.0013581158127635717,2.039071718851725,0.008564556609295929,0.21835241404672465,3.6,4.0,3.2,2.5,107,1769472
0.002459015309189757,2.1671151220798492,0.008849950429672996,0.1854243309547504,3.1,3.0,2.8,2.0,108,1785856
0.0007887918424482147,2.269143352905909,0.009140336313672984,0.16442663532992205,4.7,4.5,3.0,2.0,109,1802240
0.003173491742927581,2.34726349512736,0.011711352543594936,0.16314411411682764,1.5,1.0,2.5,2.5,110,1818624
0.0008372117493612071,2.350413531064987,0.007659362279810011,0.17302561240891615,3.8,1.5,2.7,2.5,111,1835008
-0.0012381899481018384,2.270847181479136,0.004444980848347768,0.204400897026062,2.6,2.5,2.6,3.0,112,1851392
0.0008829703438095748,2.2467058897018433,0.007604138527919228,0.21867687193055949,1.7,1.0,2.1,2.0,113,1867776
-0.00030361323539788526,2.149177591005961,0.0057065383104297025,0.2410007187475761,2.4,2.5,3.7,2.5,114,1884160
0.0002745292343509694,2.135753115018209,0.006115820700263915,0.28073425342639285,3.0,2.0,3.2,3.0,115,1900544
-0.0014924030207718413,2.193268378575643,0.005759514082456008,0.24376284020642439,1.8,1.0,3.0,3.0,116,1916928
-0.00011452923839290936,2.2351830502351127,0.006091064948122948,0.22592289249102274,3.9,3.0,2.0,1.5,117,1933312
0.0006903438673665127,2.3007314006487527,0.008456482697511092,0.18429041219254336,2.6,2.0,1.6,1.5,118,1949696
-0.0011131720384582877,2.2602387269337973,0.0027562743925955147,0.21619095963736376,4.7,3.5,3.9,4.5,119,1966080
-0.0010596828263563414,2.2823999722798667,0.003921577440147909,0.23170777410268784,3.7,3.5,2.1,2.5,120,1982464
0.0006847755090954403,2.3208702305952706,0.006272938209197794,0.2144845873117447,3.7,3.5,5.1,5.0,121,1998848
0.0017623126041144133,2.3237168391545615,0.010135490922645355,0.23340286190311113,2.8,2.0,4.0,3.5,122,2015232
0.0002209166899168243,2.205895811319351,0.005544724689874177,0.2388498348494371,3.1,2.5,2.4,2.0,123,2031616
1.1478822367886702e-05,2.176146219174067,0.006986759932866941,0.2844657065967719,3.7,2.5,4.1,3.0,124,2048000
-0.000301643517256404,2.142974078655243,0.010137759886371592,0.2860074794540803,5.2,4.0,3.2,3.0,125,2064384
0.0011083600014292945,2.056375652551651,0.010202931220798442,0.3780871170262496,4.2,5.0,2.4,2.5,126,2080768
0.0015716937972077478,1.9852592448393505,0.011223715535985926,0.4470596785346667,4.4,4.0,4.2,3.5,127,2097152
